archive_group,fold,archive,strategy_count,trade_entries,entries_with_600_contiguous_raw_4h_prefix,entries_without_600_contiguous_raw_4h_prefix,selected_strategy,selected_trade_entries,selected_entries_without_600_contiguous_raw_4h_prefix
inner_selection,F1,user_data/research/st_cci/reassess/results/inner_F1/backtest-result-2026-08-22_11-08-56.zip,48,5443,5443,0,GS_12_24_34,93,0
inner_selection,F2,user_data/research/st_cci/reassess/results/inner_F2/backtest-result-2026-08-22_11-09-10.zip,48,10640,10640,0,GS_12_21_25,178,0
inner_selection,F3,user_data/research/st_cci/reassess/results/inner_F3/backtest-result-2026-08-22_11-09-37.zip,48,15944,14605,1339,GS_12_21_25,280,21
inner_selection,F4,user_data/research/st_cci/reassess/results/inner_F4/backtest-result-2026-08-22_11-09-48.zip,48,17771,16336,1435,GS_12_21_25,313,23
inner_selection,F5,user_data/research/st_cci/reassess/results/inner_F5/backtest-result-2026-08-22_11-10-00.zip,48,23216,19268,3948,GS_12_21_50,437,87
inner_selection,F6,user_data/research/st_cci/reassess/results/inner_F6/backtest-result-2026-08-22_11-10-16.zip,48,28873,24487,4386,GS_10_18_25,606,88
inner_selection,F7,user_data/research/st_cci/reassess/results/inner_F7/backtest-result-2026-08-22_11-10-32.zip,48,34597,30211,4386,GS_10_18_25,726,88
inner_selection,F8,user_data/research/st_cci/reassess/results/inner_F8/backtest-result-2026-08-22_11-10-43.zip,48,40751,36365,4386,GS_10_18_25,846,88
selected_outer_archives,F1,user_data/research/st_cci/reassess/results/outer_F1_R/backtest-result-2026-08-22_11-13-12.zip,3,282,282,0,,,
selected_outer_archives,F1,user_data/research/st_cci/reassess/results/outer_F1_S/backtest-result-2026-08-22_11-13-12.zip,3,310,310,0,,,
selected_outer_archives,F2,user_data/research/st_cci/reassess/results/outer_F2_R/backtest-result-2026-08-22_11-13-13.zip,3,202,202,0,,,
selected_outer_archives,F2,user_data/research/st_cci/reassess/results/outer_F2_S/backtest-result-2026-08-22_11-13-13.zip,3,222,222,0,,,
selected_outer_archives,F3,user_data/research/st_cci/reassess/results/outer_F3_R/backtest-result-2026-08-22_11-13-13.zip,3,103,103,0,,,
selected_outer_archives,F3,user_data/research/st_cci/reassess/results/outer_F3_S/backtest-result-2026-08-22_11-13-13.zip,3,103,103,0,,,
selected_outer_archives,F4,user_data/research/st_cci/reassess/results/outer_F4_R/backtest-result-2026-08-22_11-13-14.zip,3,178,178,0,,,
selected_outer_archives,F4,user_data/research/st_cci/reassess/results/outer_F4_S/backtest-result-2026-08-22_11-13-14.zip,3,178,178,0,,,
selected_outer_archives,F5,user_data/research/st_cci/reassess/results/outer_F5_R/backtest-result-2026-08-22_11-13-15.zip,3,246,246,0,,,
selected_outer_archives,F5,user_data/research/st_cci/reassess/results/outer_F5_S/backtest-result-2026-08-22_11-13-15.zip,3,302,302,0,,,
selected_outer_archives,F6,user_data/research/st_cci/reassess/results/outer_F6_R/backtest-result-2026-08-22_11-13-16.zip,3,322,322,0,,,
selected_outer_archives,F6,user_data/research/st_cci/reassess/results/outer_F6_S/backtest-result-2026-08-22_11-13-16.zip,3,362,362,0,,,
selected_outer_archives,F7,user_data/research/st_cci/reassess/results/outer_F7_R/backtest-result-2026-08-22_11-13-16.zip,3,303,303,0,,,
selected_outer_archives,F7,user_data/research/st_cci/reassess/results/outer_F7_S/backtest-result-2026-08-22_11-13-16.zip,3,397,397,0,,,
selected_outer_archives,F8,user_data/research/st_cci/reassess/results/outer_F8_R/backtest-result-2026-08-22_11-13-17.zip,3,242,242,0,,,
selected_outer_archives,F8,user_data/research/st_cci/reassess/results/outer_F8_S/backtest-result-2026-08-22_11-13-17.zip,3,252,252,0,,,
grid_outer_diagnostic,F1,user_data/research/st_cci/reassess/results/grid_outer_F1/backtest-result-2026-08-22_11-20-14.zip,48,5197,5197,0,,,
grid_outer_diagnostic,F2,user_data/research/st_cci/reassess/results/grid_outer_F2/backtest-result-2026-08-22_11-20-16.zip,48,3830,3830,0,,,
grid_outer_diagnostic,F3,user_data/research/st_cci/reassess/results/grid_outer_F3/backtest-result-2026-08-22_11-20-08.zip,48,1731,1731,0,,,
grid_outer_diagnostic,F4,user_data/research/st_cci/reassess/results/grid_outer_F4/backtest-result-2026-08-22_11-20-12.zip,48,2930,2930,0,,,
grid_outer_diagnostic,F5,user_data/research/st_cci/reassess/results/grid_outer_F5/backtest-result-2026-08-22_11-20-19.zip,48,5197,5197,0,,,
grid_outer_diagnostic,F6,user_data/research/st_cci/reassess/results/grid_outer_F6/backtest-result-2026-08-22_11-20-21.zip,48,5718,5718,0,,,
grid_outer_diagnostic,F7,user_data/research/st_cci/reassess/results/grid_outer_F7/backtest-result-2026-08-22_11-20-20.zip,48,6154,6154,0,,,
grid_outer_diagnostic,F8,user_data/research/st_cci/reassess/results/grid_outer_F8/backtest-result-2026-08-22_11-20-21.zip,48,4047,4047,0,,,
